INSPECTION_DATE,STORE_NAME,STREET_ADDRESS,CITY,ZIP5,SERVICE_DESCRIPTION,SCORE,GRADE,STREET_ADDRESS_LINE2,INSPDATE_YEAR,STATE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,geometry,PRIMARY_ZCTA,buffer,AVG_INCOME_NEARBY_ZCTAS,AVG_HH_SIZE_NEARBY_ZCTAS,AVG_RENT_NEARBY_ZCTAS,AVG_POP_NEARBY_ZCTAS
2024-01-02,3RD ST CHEVRON,3817 W 3RD ST,LOS ANGELES,90020,ROUTINE INSPECTION,90.0,A,,2024,CA,34.06918,-118.29853,1.0,rooftop,3817,W 3rd St,,,Los Angeles,CA,Los Angeles County,90020.0,US,City of Los Angeles (CC0 1.0),POINT (-13168932.121192798 4038094.9968518936),90004,"POLYGON ((-13165713.431192799 4038094.9968518936, -13165728.930064905 4037779.5100624864, -13165775.277418617 4037467.0615833234, -13165852.02690358 4037160.6604640614, -13165958.4393803 4036863.2575149746, -13166093.490038453 4036577.716889039, -13166255.878266376 4036306.788498576, -13166444.040176664 4036053.081532089, -13166656.163667262 4035819.0393263563, -13166890.205872994 4035606.9158357596, -13167143.91283948 4035418.7539254716, -13167414.841229944 4035256.3656975483, -13167700.381855879 4035121.315039395, -13167997.784804966 4035014.9025626755, -13168304.185924228 4034938.1530777127, -13168616.63440339 4034891.805724001, -13168932.121192798 4034876.3068518937, -13169247.607982205 4034891.805724001, -13169560.056461368 4034938.1530777127, -13169866.45758063 4035014.9025626755, -13170163.860529717 4035121.315039395, -13170449.401155652 4035256.3656975483, -13170720.329546116 4035418.7539254716, -13170974.036512602 4035606.9158357596, -13171208.078718334 4035819.0393263563, -13171420.202208932 4036053.081532089, -13171608.36411922 4036306.788498576, -13171770.752347143 4036577.716889039, -13171905.803005297 4036863.2575149746, -13172012.215482015 4037160.6604640614, -13172088.964966979 4037467.0615833234, -13172135.31232069 4037779.5100624864, -13172150.811192797 4038094.9968518936, -13172135.31232069 4038410.483641301, -13172088.964966979 4038722.932120464, -13172012.215482015 4039029.333239726, -13171905.803005297 4039326.7361888126, -13171770.752347143 4039612.276814748, -13171608.36411922 4039883.2052052114, -13171420.202208932 4040136.912171698, -13171208.078718334 4040370.954377431, -13170974.036512602 4040583.0778680276, -13170720.329546116 4040771.2397783156, -13170449.401155652 4040933.628006239, -13170163.860529717 4041068.6786643923, -13169866.45758063 4041175.0911411117, -13169560.056461368 4041251.8406260745, -13169247.607982205 4041298.187979786, -13168932.121192798 4041313.6868518936, -13168616.63440339 4041298.187979786, -13168304.185924228 4041251.8406260745, -13167997.784804966 4041175.0911411117, -13167700.381855879 4041068.6786643923, -13167414.841229944 4040933.628006239, -13167143.91283948 4040771.2397783156, -13166890.205872994 4040583.0778680276, -13166656.163667262 4040370.954377431, -13166444.040176664 4040136.912171698, -13166255.878266376 4039883.2052052114, -13166093.490038453 4039612.276814748, -13165958.4393803 4039326.7361888126, -13165852.02690358 4039029.333239726, -13165775.277418617 4038722.932120464, -13165728.930064905 4038410.483641301, -13165713.431192799 4038094.9968518936))",64645.5,2.32,1755.8,42499.7
2024-01-02,7-ELEVEN #34473B,5905 SOUTH ST,LAKEWOOD,90713,ROUTINE INSPECTION,97.0,A,,2024,CA,33.859024,-118.116853,0.9,nearest_rooftop_match,5907,South St,,,Lakewood,CA,Los Angeles County,90713.0,US,"Los Angeles (Los Angeles County license to copy, publish, distribute and/or transmit the Data, to adapt the Data and to exploit the Data for commercial and/or personal use)",POINT (-13148707.930063948 4009888.0653141276),90713,"POLYGON ((-13145489.240063949 4009888.0653141276, -13145504.738936055 4009572.5785247204, -13145551.086289767 4009260.1300455574, -13145627.83577473 4008953.7289262954, -13145734.24825145 4008656.3259772086, -13145869.298909603 4008370.785351273, -13146031.687137526 4008099.85696081, -13146219.849047814 4007846.149994323, -13146431.972538412 4007612.1077885902, -13146666.014744144 4007399.9842979936, -13146919.72171063 4007211.8223877056, -13147190.650101094 4007049.4341597822, -13147476.190727029 4006914.383501629, -13147773.593676116 4006807.9710249095, -13148079.994795378 4006731.2215399467, -13148392.44327454 4006684.874186235, -13148707.930063948 4006669.3753141277, -13149023.416853355 4006684.874186235, -13149335.865332518 4006731.2215399467, -13149642.26645178 4006807.9710249095, -13149939.669400867 4006914.383501629, -13150225.210026802 4007049.4341597822, -13150496.138417266 4007211.8223877056, -13150749.845383752 4007399.9842979936, -13150983.887589484 4007612.1077885902, -13151196.011080083 4007846.149994323, -13151384.17299037 4008099.85696081, -13151546.561218293 4008370.785351273, -13151681.611876447 4008656.3259772086, -13151788.024353165 4008953.7289262954, -13151864.773838129 4009260.1300455574, -13151911.12119184 4009572.5785247204, -13151926.620063948 4009888.0653141276, -13151911.12119184 4010203.552103535, -13151864.773838129 4010516.000582698, -13151788.024353165 4010822.40170196, -13151681.611876447 4011119.8046510466, -13151546.561218293 4011405.345276982, -13151384.17299037 4011676.2736674454, -13151196.011080083 4011929.980633932, -13150983.887589484 4012164.022839665, -13150749.845383752 4012376.1463302616, -13150496.138417266 4012564.3082405496, -13150225.210026802 4012726.696468473, -13149939.669400867 4012861.7471266263, -13149642.26645178 4012968.1596033457, -13149335.865332518 4013044.9090883085, -13149023.416853355 4013091.25644202, -13148707.930063948 4013106.7553141275, -13148392.44327454 4013091.25644202, -13148079.994795378 4013044.9090883085, -13147773.593676116 4012968.1596033457, -13147476.190727029 4012861.7471266263, -13147190.650101094 4012726.696468473, -13146919.72171063 4012564.3082405496, -13146666.014744144 4012376.1463302616, -13146431.972538412 4012164.022839665, -13146219.849047814 4011929.980633932, -13146031.687137526 4011676.2736674454, -13145869.298909603 4011405.345276982, -13145734.24825145 4011119.8046510466, -13145627.83577473 4010822.40170196, -13145551.086289767 4010516.000582698, -13145504.738936055 4010203.552103535, -13145489.240063949 4009888.0653141276))",112001.71428571429,3.13,2346.4285714285716,37331.57142857143
2024-01-02,7-ELEVEN #39023B,4111 VENICE BLVD,LOS ANGELES,90019,ROUTINE INSPECTION,96.0,A,,2024,CA,34.04433,-118.3268,1.0,rooftop,4111,W Venice Blvd,,,Los Angeles,CA,Los Angeles County,90019.0,US,City of Los Angeles (CC0 1.0),POINT (-13172079.123197524 4034756.0163900163),90019,"POLYGON ((-13168860.433197524 4034756.0163900163, -13168875.932069631 4034440.529600609, -13168922.279423343 4034128.081121446, -13168999.028908307 4033821.680002184, -13169105.441385025 4033524.2770530973, -13169240.492043179 4033238.736427162, -13169402.880271101 4032967.8080366985, -13169591.04218139 4032714.1010702117, -13169803.165671987 4032480.058864479, -13170037.20787772 4032267.9353738823, -13170290.914844206 4032079.7734635943, -13170561.84323467 4031917.385235671, -13170847.383860605 4031782.3345775176, -13171144.786809692 4031675.922100798, -13171451.187928954 4031599.1726158354, -13171763.636408117 4031552.8252621237, -13172079.123197524 4031537.3263900164, -13172394.609986931 4031552.8252621237, -13172707.058466094 4031599.1726158354, -13173013.459585356 4031675.922100798, -13173310.862534443 4031782.3345775176, -13173596.403160378 4031917.385235671, -13173867.331550842 4032079.7734635943, -13174121.038517328 4032267.9353738823, -13174355.08072306 4032480.058864479, -13174567.204213658 4032714.1010702117, -13174755.366123946 4032967.8080366985, -13174917.75435187 4033238.736427162, -13175052.805010023 4033524.2770530973, -13175159.217486741 4033821.680002184, -13175235.966971705 4034128.081121446, -13175282.314325416 4034440.529600609, -13175297.813197523 4034756.0163900163, -13175282.314325416 4035071.5031794235, -13175235.966971705 4035383.9516585865, -13175159.217486741 4035690.3527778485, -13175052.805010023 4035987.7557269353, -13174917.75435187 4036273.2963528708, -13174755.366123946 4036544.224743334, -13174567.204213658 4036797.931709821, -13174355.08072306 4037031.9739155537, -13174121.038517328 4037244.0974061503, -13173867.331550842 4037432.2593164383, -13173596.403160378 4037594.6475443617, -13173310.862534443 4037729.698202515, -13173013.459585356 4037836.1106792344, -13172707.058466094 4037912.860164197, -13172394.609986931 4037959.207517909, -13172079.123197524 4037974.7063900162, -13171763.636408117 4037959.207517909, -13171451.187928954 4037912.860164197, -13171144.786809692 4037836.1106792344, -13170847.383860605 4037729.698202515, -13170561.84323467 4037594.6475443617, -13170290.914844206 4037432.2593164383, -13170037.20787772 4037244.0974061503, -13169803.165671987 4037031.9739155537, -13169591.04218139 4036797.931709821, -13169402.880271101 4036544.224743334, -13169240.492043179 4036273.2963528708, -13169105.441385025 4035987.7557269353, -13168999.028908307 4035690.3527778485, -13168922.279423343 4035383.9516585865, -13168875.932069631 4035071.5031794235, -13168860.433197524 4034756.0163900163))",67153.0,2.3855555555555554,1848.0,41001.88888888889
2024-01-02,7-ELEVEN #39714,6051 HOLLYWOOD BLVD # 111,LOS ANGELES,90028,ROUTINE INSPECTION,94.0,A,,2024,CA,34.10182,-118.32202,1.0,rooftop,6051,W Hollywood Blvd,Ste,111,Los Angeles,CA,Los Angeles County,90028.0,US,City of Los Angeles (CC0 1.0),POINT (-13171547.01603153 4042482.1722482773),90028,"POLYGON ((-13168328.32603153 4042482.1722482773, -13168343.824903637 4042166.68545887, -13168390.172257349 4041854.236979707, -13168466.921742313 4041547.835860445, -13168573.334219031 4041250.4329113583, -13168708.384877184 4040964.892285423, -13168870.773105107 4040693.9638949595, -13169058.935015395 4040440.256928473, -13169271.058505993 4040206.21472274, -13169505.100711726 4039994.0912321433, -13169758.807678211 4039805.9293218553, -13170029.736068675 4039643.541093932, -13170315.27669461 4039508.4904357786, -13170612.679643698 4039402.0779590593, -13170919.08076296 4039325.3284740965, -13171231.529242123 4039278.9811203848, -13171547.01603153 4039263.4822482774, -13171862.502820937 4039278.9811203848, -13172174.9513001 4039325.3284740965, -13172481.352419361 4039402.0779590593, -13172778.755368449 4039508.4904357786, -13173064.295994384 4039643.541093932, -13173335.224384848 4039805.9293218553, -13173588.931351334 4039994.0912321433, -13173822.973557066 4040206.21472274, -13174035.097047664 4040440.256928473, -13174223.258957952 4040693.9638949595, -13174385.647185875 4040964.892285423, -13174520.697844028 4041250.4329113583, -13174627.110320747 4041547.835860445, -13174703.85980571 4041854.236979707, -13174750.207159422 4042166.68545887, -13174765.70603153 4042482.1722482773, -13174750.207159422 4042797.6590376846, -13174703.85980571 4043110.1075168476, -13174627.110320747 4043416.5086361095, -13174520.697844028 4043713.9115851964, -13174385.647185875 4043999.452211132, -13174223.258957952 4044270.380601595, -13174035.097047664 4044524.087568082, -13173822.973557066 4044758.1297738147, -13173588.931351334 4044970.2532644114, -13173335.224384848 4045158.4151746994, -13173064.295994384 4045320.8034026227, -13172778.755368449 4045455.854060776, -13172481.352419361 4045562.2665374954, -13172174.9513001 4045639.016022458, -13171862.502820937 4045685.36337617, -13171547.01603153 4045700.8622482773, -13171231.529242123 4045685.36337617, -13170919.08076296 4045639.016022458, -13170612.679643698 4045562.2665374954, -13170315.27669461 4045455.854060776, -13170029.736068675 4045320.8034026227, -13169758.807678211 4045158.4151746994, -13169505.100711726 4044970.2532644114, -13169271.058505993 4044758.1297738147, -13169058.935015395 4044524.087568082, -13168870.773105107 4044270.380601595, -13168708.384877184 4043999.452211132, -13168573.334219031 4043713.9115851964, -13168466.921742313 4043416.5086361095, -13168390.172257349 4043110.1075168476, -13168343.824903637 4042797.6590376846, -13168328.32603153 4042482.1722482773))",79224.375,1.98875,1992.75,38403.625
2024-01-02,AEIRLOOM-CATCHER,10550 RIVERSIDE DR,NORTH HOLLYWOOD,91602,ROUTINE INSPECTION,92.0,A,,2024,CA,34.15202,-118.3606,1.0,rooftop,10550,W Riverside Dr,,,Toluca Lake,CA,Los Angeles County,91602.0,US,City of Los Angeles (CC0 1.0),POINT (-13175841.721986335 4049232.9093501884),91602,"POLYGON ((-13172623.031986335 4049232.9093501884, -13172638.530858442 4048917.4225607812, -13172684.878212154 4048604.9740816182, -13172761.627697118 4048298.5729623563, -13172868.040173836 4048001.1700132694, -13173003.09083199 4047715.629387334, -13173165.479059912 4047444.7009968706, -13173353.6409702 4047190.994030384, -13173565.764460798 4046956.951824651, -13173799.80666653 4046744.8283340544, -13174053.513633016 4046556.6664237664, -13174324.44202348 4046394.278195843, -13174609.982649416 4046259.2275376897, -13174907.385598503 4046152.8150609704, -13175213.786717765 4046076.0655760076, -13175526.235196928 4046029.718222296, -13175841.721986335 4046014.2193501885, -13176157.208775742 4046029.718222296, -13176469.657254905 4046076.0655760076, -13176776.058374166 4046152.8150609704, -13177073.461323254 4046259.2275376897, -13177359.00194919 4046394.278195843, -13177629.930339653 4046556.6664237664, -13177883.637306139 4046744.8283340544, -13178117.679511871 4046956.951824651, -13178329.80300247 4047190.994030384, -13178517.964912757 4047444.7009968706, -13178680.35314068 4047715.629387334, -13178815.403798833 4048001.1700132694, -13178921.816275552 4048298.5729623563, -13178998.565760516 4048604.9740816182, -13179044.913114227 4048917.4225607812, -13179060.411986334 4049232.9093501884, -13179044.913114227 4049548.3961395957, -13178998.565760516 4049860.8446187587, -13178921.816275552 4050167.2457380206, -13178815.403798833 4050464.6486871075, -13178680.35314068 4050750.189313043, -13178517.964912757 4051021.1177035063, -13178329.80300247 4051274.824669993, -13178117.679511871 4051508.866875726, -13177883.637306139 4051720.9903663225, -13177629.930339653 4051909.1522766105, -13177359.00194919 4052071.540504534, -13177073.461323254 4052206.591162687, -13176776.058374166 4052313.0036394065, -13176469.657254905 4052389.7531243693, -13176157.208775742 4052436.100478081, -13175841.721986335 4052451.5993501884, -13175526.235196928 4052436.100478081, -13175213.786717765 4052389.7531243693, -13174907.385598503 4052313.0036394065, -13174609.982649416 4052206.591162687, -13174324.44202348 4052071.540504534, -13174053.513633016 4051909.1522766105, -13173799.80666653 4051720.9903663225, -13173565.764460798 4051508.866875726, -13173353.6409702 4051274.824669993, -13173165.479059912 4051021.1177035063, -13173003.09083199 4050750.189313043, -13172868.040173836 4050464.6486871075, -13172761.627697118 4050167.2457380206, -13172684.878212154 4049860.8446187587, -13172638.530858442 4049548.3961395957, -13172623.031986335 4049232.9093501884))",100588.42857142857,1.9325,2194.714285714286,27773.0
