EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
102224,1855727,REGULAR,ROOSTERS,,5338 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2024/06/11 00:00:00,97,A,ROOSTERS,,4637
101147,1862688,REGULAR,RED BRICK PIZZA,,5000 SHELBYVILLE RD STE 1640,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/07/10 00:00:00,98,A,RED BRICK PIZZA,,4638
102645,1877336,REGULAR,WAFFLE HOUSE #2237,,612 LYNDON LN,,LOUISVILLE,KY,40222,FOOD SERVICE,2024/09/04 00:00:00,96,A,WAFFLE HOUSE #2237,,4639
102238,1811326,REGULAR,ARAMARK AT THORNTONS,,2600 JAMES THORNTON WAY,,LOUISVILLE,KY,40245,FOOD SERVICE,2023/12/12 00:00:00,100,A,ARAMARK AT THORNTONS,,4640
101821,1881754,REGULAR,SUBWAY #42506,,12981 SHELBYVILLE RD,,LOUISVILLE,KY,40243,FOOD SERVICE,2024/09/19 00:00:00,100,A,SUBWAY #42506,,4641
100724,1828322,REGULAR,IT'S KENTUCKY CHICKEN Y'ALL EH3,,937 PHILLIPS LN,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/02/16 00:00:00,98,A,IT'S KENTUCKY CHICKEN Y'ALL EH3,,4642
100348,1810322,REGULAR,LA CIENFUEGUERA FOOD MARKET,,1937 LOWER HUNTERS TRACE,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/12/07 00:00:00,99,,LA CIENFUEGUERA FOOD MARKET,,4643
101151,1852330,REGULAR,CLIFTON 1ST LIQUOR SHOP,,1904 FRANKFORT AVE,,LOUISVILLE,KY,40206,PRE-PACKAGED RETAIL,2024/05/29 00:00:00,100,,CLIFTON 1ST LIQUOR SHOP,,4644
102648,1831979,REGULAR,DINING WITH GABOR AND MORE,,1812 W MUHAMMAD ALI BLVD,,LOUISVILLE,KY,40203,CATERERS,2024/03/16 00:00:00,98,A,DINING WITH GABOR AND MORE,,4645
100724,1868625,REGULAR,IT'S KENTUCKY CHICKEN Y'ALL EH3,,937 PHILLIPS LN,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/08/01 00:00:00,99,A,IT'S KENTUCKY CHICKEN Y'ALL EH3,,4646
102238,1849910,REGULAR,ARAMARK AT THORNTONS,,2600 JAMES THORNTON WAY,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/05/23 00:00:00,100,A,ARAMARK AT THORNTONS,,4647
100348,1857187,REGULAR,LA CIENFUEGUERA FOOD MARKET,,1937 LOWER HUNTERS TRACE,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/17 00:00:00,90,C,LA CIENFUEGUERA FOOD MARKET,,4648
101823,1816633,REGULAR,QUALITY INN,,1301 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,FOOD SERVICE,2024/01/08 00:00:00,100,A,QUALITY INN,,4649
